GEOID,NAME,PR_Pop_AfricanAmerican_BlackE,PR_Pop_AfricanAmerican_BlackM,PR_Pop_WhiteE,PR_Pop_WhiteM,PR_Pop_AsianE,PR_Pop_AsianM,PR_Pop_BachelorsE,PR_Pop_BachelorsM,PR_Pop_NativeE,PR_Pop_NativeM,PR_Pop_EducationE,PR_Pop_EducationM,Asian_Percent,AfricanAmerican_Black_Percent,White_Percent,Bachelors_Percent
"72031050311","Census Tract 503.11, Carolina Municipio, Puerto Rico",396,187,1196,289,0,13,275,95,2068,358,1332,237,0,19.1489361702128,57.8336557059961,20.6456456456456
"72031050803","Census Tract 508.03, Carolina Municipio, Puerto Rico",1063,342,1600,309,0,13,316,105,3510,497,2202,286,0,30.2849002849003,45.5840455840456,14.3505903723887
"72101955500","Census Tract 9555, Morovis Municipio, Puerto Rico",29,43,2370,357,0,13,66,30,2506,362,1611,246,0,1.15722266560255,94.5730247406225,4.09683426443203
"72113070202","Census Tract 702.02, Ponce Municipio, Puerto Rico",65,53,1244,310,0,13,42,28,1540,335,891,164,0,4.22077922077922,80.7792207792208,4.71380471380471
"72031051103","Census Tract 511.03, Carolina Municipio, Puerto Rico",861,296,2610,457,0,13,682,175,4581,603,2977,376,0,18.7950229207597,56.9744597249509,22.9089687604971
"72035260500","Census Tract 2605, Cayey Municipio, Puerto Rico",195,171,3355,534,0,13,569,165,4564,527,3061,324,0,4.27256792287467,73.510078878177,18.5886965044103
"72005401200","Census Tract 4012, Aguadilla Municipio, Puerto Rico",146,127,1687,332,0,13,335,115,3490,529,2238,311,0,4.18338108882522,48.3381088825215,14.9687220732797
"72127002100","Census Tract 21, San Juan Municipio, Puerto Rico",43,45,534,184,0,13,169,102,868,250,679,203,0,4.95391705069124,61.5207373271889,24.8895434462445
"72127004400","Census Tract 44, San Juan Municipio, Puerto Rico",294,140,844,240,0,13,61,49,1337,311,757,163,0,21.9895287958115,63.1264023934181,8.05812417437252
"72127005601","Census Tract 56.01, San Juan Municipio, Puerto Rico",235,110,1950,315,0,13,520,133,2754,420,1973,307,0,8.53304284676834,70.8061002178649,26.3558033451597
"72127006600","Census Tract 66, San Juan Municipio, Puerto Rico",86,56,1327,500,10,16,195,82,1744,600,703,147,0.573394495412844,4.93119266055046,76.0894495412844,27.7382645803698
"72127007700","Census Tract 77, San Juan Municipio, Puerto Rico",546,259,989,280,0,13,125,66,1958,419,1091,255,0,27.8855975485189,50.5107252298264,11.4573785517874
"72127009902","Census Tract 99.02, San Juan Municipio, Puerto Rico",682,299,3794,593,0,19,748,191,5371,683,3576,477,0,12.6978216347049,70.6386147830944,20.917225950783
"72023830504","Census Tract 8305.04, Cabo Rojo Municipio, Puerto Rico",109,95,1889,473,11,17,243,125,3484,606,2479,444,0.315729047072331,3.12858783008037,54.2192881745121,9.80233965308592
"72025202404","Census Tract 2024.04, Caguas Municipio, Puerto Rico",414,217,3481,555,0,13,609,174,4723,620,2744,347,0,8.76561507516409,73.7031547745077,22.1938775510204
"72027320401","Census Tract 3204.01, Camuy Municipio, Puerto Rico",102,140,3233,529,0,13,507,145,4126,587,2754,320,0,2.47212796897722,78.3567619970916,18.4095860566449
"72073956100","Census Tract 9561, Jayuya Municipio, Puerto Rico",90,69,2197,499,0,13,195,78,2807,559,1569,266,0,3.20627003918774,78.2686141788386,12.4282982791587
"72075710902","Census Tract 7109.02, Juana Díaz Municipio, Puerto Rico",757,350,3326,707,2,5,750,221,6114,912,3440,517,0.0327118089630357,12.381419692509,54.3997383055283,21.8023255813953
"72079850200","Census Tract 8502, Lajas Municipio, Puerto Rico",104,94,2898,563,0,13,507,154,4566,676,2788,399,0,2.27770477441962,63.4691195795007,18.1850789096126
"72081958400","Census Tract 9584, Lares Municipio, Puerto Rico",6,8,1274,252,0,13,155,68,1747,289,1260,186,0,0.343445907269605,72.9250143102461,12.3015873015873
"72123952800","Census Tract 9528, Salinas Municipio, Puerto Rico",1230,541,3213,664,0,19,358,164,6847,870,3892,529,0,17.9640718562874,46.9256608733752,9.1983556012333
"72125840700","Census Tract 8407, San Germán Municipio, Puerto Rico",80,57,2959,476,0,13,504,166,4050,603,2759,371,0,1.97530864197531,73.0617283950617,18.2674882203697
"72131959200","Census Tract 9592, San Sebastián Municipio, Puerto Rico",132,141,4091,796,0,19,518,230,5086,896,3163,565,0,2.59535981124656,80.4364923318915,16.3768574138476
"72087110600","Census Tract 1106, Loíza Municipio, Puerto Rico",1561,355,252,114,0,13,148,69,2481,442,1729,288,0,62.9181781539702,10.1571946795647,8.55986119144014
